"","ensgenes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X","annotation","protein_id","deleteok","gen_acr","old_locus","Description","GO.IDs","GO.Names","Enzyme.Codes","Enzyme.Names","InterPro.IDs","InterPro.GO.IDs","InterPro.GO.Names"
"12","NIS_RS00060",1730.33973674681,-1.10773070802701,0.379295145074802,-2.9204979879417,0.00349472453812883,0.0181231657330713,9,"  Crp/Fnr family transcriptional regulator","  WP_011979555.1"," transl_table 11"," ","NIS_0011","Crp/Fnr family transcriptional regulator","F:GO:0003677; P:GO:0006355; F:GO:0016301; P:GO:0016310","F:DNA binding; P:regulation of transcription, DNA-templated; F:kinase activity; P:phosphorylation","","",NA,NA,NA
"19","NIS_RS00095",158.265993398599,-2.63346956196962,0.483133197237098,-5.45081475880707,5.01395756001642e-08,3.15441445008197e-06,16,"  ABC transporter ATP-binding protein","  WP_011979562.1"," transl_table 11"," ","NIS_0018","ABC transporter ATP-binding protein","F:GO:0005524; F:GO:0016887","F:ATP binding; F:ATPase activity","EC:3.6.1.3; EC:3.6.1.15","Adenosinetriphosphatase; Nucleoside-triphosphate phosphatase",NA,NA,NA
"20","NIS_RS00100",359.798486544612,-1.52809688066627,0.377428857894192,-4.04870175850374,5.15025248077577e-05,0.000744718990103417,17,"  ABC transporter permease subunit","  WP_197524227.1"," transl_table 11"," ","NIS_0019","ABC transporter permease subunit","C:GO:0005886; C:GO:0016021; P:GO:0055085","C:plasma membrane; C:integral component of membrane; P:transmembrane transport","","",NA,NA,NA
"24","NIS_RS00120",8376.02502210738,-1.72258672926033,0.554104884529356,-3.10877376712436,0.00187865508469074,0.0113463893986962,20,"  GMC family oxidoreductase","  WP_011979566.1"," transl_table 11"," ","NIS_0022","GMC family oxidoreductase","F:GO:0016614; F:GO:0050660; P:GO:0055114","F:oxidoreductase activity, acting on CH-OH group of donors; F:flavin adenine dinucleotide binding; P:oxidation-reduction process","","",NA,NA,NA
"27","NIS_RS00135",488.999232284807,-1.48370150352137,0.561735509636188,-2.6412813113458,0.00825931089832949,0.0349608865162195,23,"  hypothetical protein","  WP_011979569.1"," transl_table 11"," ","NIS_0025","zinc-regulated TonB-dependent outer membrane receptor","","","","",NA,NA,NA
"41","NIS_RS00205",1051.4701367533,-1.07971577096091,0.366083622131345,-2.94936923065497,0.00318423297454009,0.0168212413935038,36,"  SagB family peptide dehydrogenase","  WP_197524228.1"," transl_table 11"," ","NIS_0039","SagB/ThcOx family dehydrogenase","F:GO:0016491; P:GO:0055114","F:oxidoreductase activity; P:oxidation-reduction process","","",NA,NA,NA
"47","NIS_RS00235",198.209207514956,-1.48430590718859,0.48887059332928,-3.03619388738489,0.00239585247055565,0.0136295671893912,41,"  protein-L-isoaspartate(D-aspartate) O-methyltransferase","  WP_011979589.1"," transl_table 11"," ","NIS_0045","protein-L-isoaspartate(D-aspartate) O-methyltransferase","F:GO:0004719; P:GO:0006479","F:protein-L-isoaspartate (D-aspartate) O-methyltransferase activity; P:protein methylation","EC:2.1.1.77","Protein-L-isoaspartate(D-aspartate) O-methyltransferase",NA,NA,NA
"53","NIS_RS00265",245.326184694614,-1.43768979270142,0.418846526763599,-3.43249782637656,0.000598048675710403,0.00489559680405912,47,"  SDR family NAD(P)-dependent oxidoreductase","  WP_011979593.1"," transl_table 11"," ","NIS_0050","SDR family oxidoreductase","F:GO:0016491; P:GO:0055114","F:oxidoreductase activity; P:oxidation-reduction process","","",NA,NA,NA
"54","NIS_RS00270",245.05895539401,-1.12681521331692,0.421173969492443,-2.67541513706282,0.00746367662697602,0.0323534866477888,1515,"  peptide-methionine (R)-S-oxide reductase MsrB","  WP_148164048.1"," transl_table 11","  msrB","NIS_0051","peptide-methionine (R)-S-oxide reductase","P:GO:0006979; F:GO:0008270; P:GO:0030091; F:GO:0033743; P:GO:0055114","P:response to oxidative stress; F:zinc ion binding; P:protein repair; F:peptide-methionine (R)-S-oxide reductase activity; P:oxidation-reduction process","EC:1.8.4.12","Peptide-methionine (R)-S-oxide reductase",NA,NA,NA
"81","NIS_RS00405",464.239692793162,-1.67104664984148,0.525777183941312,-3.17824108934328,0.0014817148771743,0.00953012068728014,70,"  cation transporter","  WP_011979621.1"," transl_table 11"," ","NIS_0078","cation diffusion facilitator family transporter","F:GO:0008324; C:GO:0016021; P:GO:0098655","F:cation transmembrane transporter activity; C:integral component of membrane; P:cation transmembrane transport","","",NA,NA,NA
"82","NIS_RS00410",142.889517466174,-2.10574060619697,0.595646465270671,-3.53521884032349,0.000407437576940222,0.00378936075079146,71,"  sulfite exporter TauE/SafE family protein","  WP_011979622.1"," transl_table 11"," ","NIS_0079","cytochrome c biogenesis protein","C:GO:0016021; P:GO:0017004; P:GO:0055114","C:integral component of membrane; P:cytochrome complex assembly; P:oxidation-reduction process","","",NA,NA,NA
"83","NIS_RS00415",137.380976185755,-1.64387356665573,0.61373136612258,-2.67849039074109,0.00739548541493481,0.0321988057296392,72,"  thioredoxin family protein","  WP_011979623.1"," transl_table 11"," ","NIS_0080","thioredoxin family protein","C:GO:0005623; P:GO:0045454","C:cell; P:cell redox homeostasis","","",NA,NA,NA
"85","NIS_RS00425",182.996405546409,-1.66586563020537,0.561631558052133,-2.96611827865047,0.00301584480413349,0.0161907548969877,74,"  rhodanese-like domain-containing protein","  WP_011979625.1"," transl_table 11"," ","NIS_0082","rhodanese-like domain-containing protein","F:GO:0016740","F:transferase activity","","",NA,NA,NA
"95","NIS_RS00485",95.3830241376898,-1.20840171535035,0.467925038167421,-2.58246859386479,0.00980962901233816,0.0397399823660277,85,"  hypothetical protein","  WP_011979636.1"," transl_table 11"," ","NIS_0093","hypothetical protein","","","","",NA,NA,NA
"116","NIS_RS00595",559.494709244989,-1.85149999373577,0.60491440570719,-3.06076359939094,0.00220773329949795,0.0128632931361925,99,"  ABC transporter permease","  WP_011979656.1"," transl_table 11"," ","NIS_0113","FtsX-like permease family protein","C:GO:0005886; C:GO:0016021","C:plasma membrane; C:integral component of membrane","","",NA,NA,NA
"117","NIS_RS00605",2467.02394712166,-2.87396878112524,0.620253312802503,-4.63354039680938,3.59464574865634e-06,9.36972793169502e-05,101,"  TolC family protein","  WP_011979657.1"," transl_table 11"," ","NIS_0115","TolC family protein","F:GO:0015562; P:GO:0055085","F:efflux transmembrane transporter activity; P:transmembrane transport","","",NA,NA,NA
"118","NIS_RS00610",2021.78179925161,-2.76088518596355,0.616823315288741,-4.47597410398009,7.60637046291767e-06,0.000169305841427415,102,"  heme-binding domain-containing protein","  WP_197524237.1"," transl_table 11"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","NIS_RS00615",879.129480550818,-1.33972660988141,0.495501776965968,-2.70377760920407,0.00685561550926494,0.0304506150759055,103,"  HAMP domain-containing histidine kinase","  WP_011979658.1"," transl_table 11"," ","NIS_0117","HAMP domain-containing histidine kinase","F:GO:0000155; P:GO:0000160; F:GO:0005524; C:GO:0016021; P:GO:0018106; P:GO:0023014","F:phosphorelay sensor kinase activity; P:phosphorelay signal transduction system; F:ATP binding; C:integral component of membrane; P:peptidyl-histidine phosphorylation; P:signal transduction by protein phosphorylation","EC:2.7.13.3","Histidine kinase",NA,NA,NA
"120","NIS_RS00620",7038.44850248782,-1.33965928974792,0.45543978329724,-2.94146304051264,0.00326665822486935,0.0171651192134381,104,"  response regulator transcription factor","  WP_011979659.1"," transl_table 11"," ","NIS_0118","response regulator transcription factor","P:GO:0000160; F:GO:0003677; P:GO:0006355","P:phosphorelay signal transduction system; F:DNA binding; P:regulation of transcription, DNA-templated","","",NA,NA,NA
"151","NIS_RS00810",1013.92459702744,-1.26480983029195,0.369616848188517,-3.42194852991888,0.00062174082095075,0.00500678278985136,133,"  cytochrome d ubiquinol oxidase subunit II","  WP_011979690.1"," transl_table 11"," ","NIS_0149","cytochrome C oxidase assembly protein","C:GO:0016021; P:GO:0055114","C:integral component of membrane; P:oxidation-reduction process","","",NA,NA,NA
"171","NIS_RS00920",956.298396596634,-1.39292319050657,0.309328932661763,-4.50304851382805,6.69855848855974e-06,0.000154300515881824,1534,"  phosphoribosylglycinamide formyltransferase","  WP_012081548.1"," transl_table 11","  purN","NIS_0171","phosphoribosylglycinamide formyltransferase","F:GO:0004644; P:GO:0006189","F:phosphoribosylglycinamide formyltransferase activity; P:'de novo' IMP biosynthetic process","EC:2.1.2.2","Phosphoribosylglycinamide formyltransferase",NA,NA,NA
"187","NIS_RS01005",262.430290696185,-1.82074211077521,0.464768796178837,-3.91752227289074,8.94637820215323e-05,0.00112883918588953,166,"  alginate export family protein","  WP_012081564.1"," transl_table 11"," ","NIS_0187","alginate export protein","","","","",NA,NA,NA
